flow,lighthouse
0.683,0.6824782490730286
0.683,0.6829243302345276
0.683,0.6833702921867371
0.688,0.6846345067024231
0.688,0.6846552491188049
0.688,0.6849308609962463
0.688,0.6853809356689453
0.688,0.6861991882324219
0.688,0.6863483786582947
0.688,0.6867311000823975
0.688,0.687169075012207
0.694,0.6886961460113525
0.694,0.6892092227935791
0.694,0.68952476978302
0.694,0.6897168755531311
0.697,0.691045880317688
0.697,0.6912074089050293
0.697,0.6914627552032471
0.697,0.6919347643852234
0.697,0.6924025416374207
0.697,0.6936649680137634
0.697,0.69417405128479
0.697,0.6946788430213928
0.697,0.6951848864555359
0.7,0.6968087553977966
0.7,0.6973904371261597
0.7,0.6969867944717407
0.7,0.6970657110214233
0.705,0.6987003684043884
0.705,0.6988055109977722
0.705,0.6987850666046143
0.705,0.6992740631103516
0.701,0.6997105479240417
0.701,0.6998410820960999
0.701,0.7002922892570496
0.701,0.7008072137832642
0.704,0.7012599110603333
0.704,0.7019248008728027
0.704,0.7022175788879395
0.704,0.702663242816925
0.704,0.7030567526817322
0.709,0.7041995525360107
0.709,0.7045050263404846
0.709,0.7049864530563354
0.709,0.7054738402366638
0.711,0.7066844701766968
0.711,0.7070053815841675
0.711,0.7073558568954468
0.711,0.707746148109436
0.713,0.7089740633964539
0.713,0.7095369100570679
0.713,0.7100957036018372
0.713,0.7104328274726868
0.715,0.711467981338501
0.715,0.7120366096496582
0.715,0.7125110030174255
0.715,0.7130686640739441
0.717,0.7141966819763184
0.717,0.7147989869117737
0.717,0.7152616381645203
0.717,0.7158627510070801
0.724,0.7164562940597534
0.724,0.7184898257255554
0.724,0.7188880443572998
0.724,0.7195629477500916
0.724,0.7201245427131653
0.726,0.7200828790664673
0.726,0.720467746257782
0.726,0.7206897735595703
0.726,0.7212868928909302
0.729,0.7224606871604919
0.729,0.7228503823280334
0.729,0.7231630086898804
0.729,0.7237720489501953
0.727,0.724586009979248
0.727,0.725193440914154
0.727,0.7256519198417664
0.727,0.726235568523407
0.732,0.7274793982505798
0.732,0.7281064987182617
0.732,0.7286161780357361
0.732,0.72923743724823
0.733,0.7298494577407837
0.733,0.7310865521430969
0.733,0.7317595481872559
0.733,0.7321869134902954
0.733,0.7328360676765442
0.736,0.7339351177215576
0.736,0.733955442905426
0.736,0.7346020340919495
0.736,0.7352451086044312
0.74,0.7364295721054077
0.74,0.7371006011962891
0.74,0.7377992868423462
0.74,0.7378925681114197
0.743,0.7392302751541138
0.743,0.7395702600479126
0.743,0.7402619123458862
0.743,0.7406567931175232
0.747,0.7422050833702087
0.747,0.7425127625465393
0.747,0.7431890964508057
0.747,0.7436530590057373
0.749,0.7444949746131897
0.749,0.7458227872848511
0.749,0.746535062789917
0.749,0.7468299269676208
0.749,0.7476136684417725
0.754,0.7492290139198303
0.754,0.7497720718383789
0.754,0.7499940991401672
0.754,0.7507565021514893
0.756,0.7521396279335022
0.756,0.7527692317962646
0.756,0.7530608177185059
0.756,0.7538750767707825
0.759,0.7549396753311157
0.759,0.7556697130203247
0.759,0.7563978433609009
0.759,0.7571225166320801
0.764,0.7592005729675293
0.764,0.7596684694290161
0.764,0.7604665160179138
0.764,0.761218786239624
0.764,0.7620294690132141
0.764,0.763144314289093
0.764,0.762955904006958
0.764,0.7636834383010864
0.764,0.7641207575798035
0.77,0.7655775547027588
0.77,0.7663277983665466
0.77,0.7670741677284241
0.77,0.7678095698356628
0.771,0.7690535187721252
0.771,0.7698189616203308
0.771,0.7705745697021484
0.771,0.7713220715522766
0.776,0.7731439471244812
0.776,0.7739624381065369
0.776,0.7747625708580017
0.776,0.7741593718528748
0.778,0.7755468487739563
0.778,0.7762974500656128
0.778,0.7767975330352783
0.778,0.7768248319625854
0.782,0.7776041030883789
0.782,0.7784122228622437
0.782,0.7791656255722046
0.782,0.7795342803001404
